companyNumber,recordType,companyStatus,numberOfOfficers,companyNameLenght,companyName
NC000236,1,D,0002,0026,PROJECT SOURCING (NI) LLP<
NC000237,1,D,0002,0028,PROJECT MANAGEMENT (NI) LLP<
NC000238,1,L,0003,0018,DAN CAMPBELLS LLP<
NC000239,1,D,0001,0030,FRESH FINANCIAL SOLUTIONS LLP<
NC000240,1,D,0002,0016,54 TRUNDLEY LLP<
NC000241,1,D,0006,0023,GLADEMOUNT ESTATES LLP<
NC000242,1, ,0002,0026,FORGE PROPERTIES (NI) LLP<
NC000243,1,D,0002,0020,CONTRACTING OUT LLP<
NC000244,1,D,0002,0009,REJO LLP<
NC000245,1, ,0005,0024,MCAVOY CONSTRUCTION LLP<
NC000246,1,D,0002,0030,PRESTIGE HOME DEVELOPMENT LLP<
NC000247,1,R,0003,0036,ELITE PROPERTY DEVELOPMENT (NI) LLP<
NC000248,1, ,0003,0015,BOOMER MBO LLP<
NC000249,1,D,0002,0020,B & G LOGISTICS LLP<
NC000250,1, ,0004,0022,CREAGH PROPERTIES LLP<
NC000251,1,D,0002,0012,CHEMGRO LLP<
NC000252,1, ,0003,0019,NINETEENTHIRTY LLP<
NC000253,1,D,0002,0024,THE BND PARTNERSHIP LLP<
NC000254,1,D,0002,0024,CONCEPT BOARD STORE LLP<
NC000255,1,D,0002,0012,RAB ONE LLP<
NC000256,1,D,0002,0012,RAB TWO LLP<
NC000257,1,D,0002,0019,DULWICH TOWERS LLP<
NC000258,1,D,0002,0021,ST JAMES STABLES LLP<
NC000259,1,D,0002,0037,KEMNAL MANOR MEMORIAL GARDENS UK LLP<
NC000260,1,D,0002,0017,DOVE COTTAGE LLP<
NC000261,1,D,0002,0020,TURAS MARKETING LLP<
NC000262,1, ,0002,0020,BEST PROMOTIONS LLP<
NC000263,1,D,0003,0020,GLENOAK MCAULEY LLP<
NC000264,1, ,0002,0021,STOCK PROPERTIES LLP<
NC000265,1,D,0002,0027,HOLLYROSE DEVELOPMENTS LLP<
NC000266,1, ,0002,0022,SEAGOE HOTEL 2007 LLP<
NC000267,1,D,0004,0013,JELLY NI LLP<
NC000268,1,D,0002,0028,C.D.C. STEELFIXING (NI) LLP<
NC000269,1, ,0002,0029,DM PROPERTY DEVELOPMENTS LLP<
NC000270,1,D,0003,0021,NIC DEVELOPMENTS LLP<
NC000271,1, ,0002,0020,BANGOR VICTORIA LLP<
NC000272,1,D,0003,0019,CONSTANTCOMEDY LLP<
NC000273,1, ,0003,0019,SLUSHEE EXPORT LLP<
NC000274,1, ,0002,0016,GAMBLESTOWN LLP<
NC000275,1, ,0004,0016,SAWYERS MOY LLP<
NC000276,1,D,0003,0020,3898 PROPERTIES LLP<
NC000277,1, ,0002,0013,KINALLEN LLP<
